"Année","Canton (-) / District (>>) / Commune (......)","Durée du mariage","Nationalité (catégorie) partenaire 1","Nationalité (catégorie) partenaire 2 - total","Suisse","Étranger"
"1982","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",2040,...,...
"1982","Suisse","20 ans ou plus","Suisse",...,...,...
"1982","Suisse","20 ans ou plus","Étranger",...,...,...
"1983","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",11710,...,...
"1983","Suisse","Durée du mariage - total","Suisse",...,...,...
"1983","Suisse","Durée du mariage - total","Étranger",...,...,...
"1983","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",2365,...,...
"1983","Suisse","0-4 ans","Suisse",...,...,...
"1983","Suisse","0-4 ans","Étranger",...,...,...
"1983","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",2840,...,...
"1983","Suisse","5-9 ans","Suisse",...,...,...
"1983","Suisse","5-9 ans","Étranger",...,...,...
"1983","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",2461,...,...
"1983","Suisse","10-14 ans","Suisse",...,...,...
"1983","Suisse","10-14 ans","Étranger",...,...,...
"1983","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",1965,...,...
"1983","Suisse","15-19 ans","Suisse",...,...,...
"1983","Suisse","15-19 ans","Étranger",...,...,...
"1983","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",2079,...,...
"1983","Suisse","20 ans ou plus","Suisse",...,...,...
"1983","Suisse","20 ans ou plus","Étranger",...,...,...
"1984","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",11219,10354,865
"1984","Suisse","Durée du mariage - total","Suisse",9001,9001,0
"1984","Suisse","Durée du mariage - total","Étranger",2218,1353,865
"1984","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",2446,2300,146
"1984","Suisse","0-4 ans","Suisse",1848,1848,0
"1984","Suisse","0-4 ans","Étranger",598,452,146
"1984","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",2586,2415,171
"1984","Suisse","5-9 ans","Suisse",2043,2043,0
"1984","Suisse","5-9 ans","Étranger",543,372,171
"1984","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",2286,2102,184
"1984","Suisse","10-14 ans","Suisse",1861,1861,0
"1984","Suisse","10-14 ans","Étranger",425,241,184
"1984","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",1794,1638,156
"1984","Suisse","15-19 ans","Suisse",1485,1485,0
"1984","Suisse","15-19 ans","Étranger",309,153,156
"1984","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",2107,1899,208
"1984","Suisse","20 ans ou plus","Suisse",1764,1764,0
"1984","Suisse","20 ans ou plus","Étranger",343,135,208
"1985","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",11416,10516,900
"1985","Suisse","Durée du mariage - total","Suisse",9081,9081,0
"1985","Suisse","Durée du mariage - total","Étranger",2335,1435,900
"1985","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",2426,2271,155
"1985","Suisse","0-4 ans","Suisse",1783,1783,0
"1985","Suisse","0-4 ans","Étranger",643,488,155
"1985","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",2764,2583,181
"1985","Suisse","5-9 ans","Suisse",2167,2167,0
"1985","Suisse","5-9 ans","Étranger",597,416,181
"1985","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",2158,1977,181
"1985","Suisse","10-14 ans","Suisse",1735,1735,0
"1985","Suisse","10-14 ans","Étranger",423,242,181
"1985","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",1813,1650,163
"1985","Suisse","15-19 ans","Suisse",1499,1499,0
"1985","Suisse","15-19 ans","Étranger",314,151,163
"1985","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",2255,2035,220
"1985","Suisse","20 ans ou plus","Suisse",1897,1897,0
"1985","Suisse","20 ans ou plus","Étranger",358,138,220
"1986","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",11395,10456,939
"1986","Suisse","Durée du mariage - total","Suisse",9122,9122,0
"1986","Suisse","Durée du mariage - total","Étranger",2273,1334,939
"1986","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",2501,2316,185
"1986","Suisse","0-4 ans","Suisse",1895,1895,0
"1986","Suisse","0-4 ans","Étranger",606,421,185
"1986","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",2730,2551,179
"1986","Suisse","5-9 ans","Suisse",2137,2137,0
"1986","Suisse","5-9 ans","Étranger",593,414,179
"1986","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",1994,1809,185
"1986","Suisse","10-14 ans","Suisse",1596,1596,0
"1986","Suisse","10-14 ans","Étranger",398,213,185
"1986","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",1779,1627,152
"1986","Suisse","15-19 ans","Suisse",1473,1473,0
"1986","Suisse","15-19 ans","Étranger",306,154,152
"1986","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",2391,2153,238
"1986","Suisse","20 ans ou plus","Suisse",2021,2021,0
"1986","Suisse","20 ans ou plus","Étranger",370,132,238
